mixed_run_id,mixed_adapter_label,mixed_source_recipe,comparator_run_id,comparator_adapter_label,comparator_source_recipe,comparator_family,metric,direction,mixed_value,comparator_value,mixed_minus_comparator,mixed_delta_vs_r004,comparator_delta_vs_r004,mixed_minus_comparator_delta
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,When2Call_macro_F1,higher_is_better,0.5224556883897543,0.47945062669076555,0.04300506169898877,0.04146376211411401,-0.0015412995848747557,0.04300506169898877
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,When2Call_macro_F1,higher_is_better,0.5224556883897543,0.5277754413117107,-0.005319752921956411,0.04146376211411401,0.04678351503607042,-0.005319752921956411
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,When2Call_macro_F1,higher_is_better,0.5224556883897543,0.4867582417582418,0.03569744663151253,0.04146376211411401,0.005766315482601481,0.03569744663151253
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,When2Call_macro_F1,higher_is_better,0.5224556883897543,0.5291562444166518,-0.006700556026897453,0.04146376211411401,0.048164318141011464,-0.006700556026897453
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,When2Call_behavior_accuracy,higher_is_better,0.63,0.5766666666666667,0.053333333333333344,0.05666666666666664,0.0033333333333332993,0.053333333333333344
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,When2Call_behavior_accuracy,higher_is_better,0.63,0.64,-0.010000000000000009,0.05666666666666664,0.06666666666666665,-0.010000000000000009
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,When2Call_behavior_accuracy,higher_is_better,0.63,0.5933333333333334,0.036666666666666625,0.05666666666666664,0.020000000000000018,0.036666666666666625
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,When2Call_behavior_accuracy,higher_is_better,0.63,0.64,-0.010000000000000009,0.05666666666666664,0.06666666666666665,-0.010000000000000009
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,strict_parse_success,higher_is_better,0.9829059829059829,0.9715099715099715,0.011396011396011319,0.019943019943019946,0.008547008547008628,0.011396011396011319
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,strict_parse_success,higher_is_better,0.9829059829059829,0.9914529914529915,-0.008547008547008628,0.019943019943019946,0.028490028490028574,-0.008547008547008628
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,strict_parse_success,higher_is_better,0.9829059829059829,0.9259259259259259,0.056980056980056926,0.019943019943019946,-0.03703703703703698,0.056980056980056926
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,strict_parse_success,higher_is_better,0.9829059829059829,0.9914529914529915,-0.008547008547008628,0.019943019943019946,0.028490028490028574,-0.008547008547008628
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,permissive_parse_success,higher_is_better,0.9914529914529915,1.0,-0.008547008547008517,-0.008547008547008517,0.0,-0.008547008547008517
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,permissive_parse_success,higher_is_better,0.9914529914529915,1.0,-0.008547008547008517,-0.008547008547008517,0.0,-0.008547008547008517
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,permissive_parse_success,higher_is_better,0.9914529914529915,1.0,-0.008547008547008517,-0.008547008547008517,0.0,-0.008547008547008517
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,permissive_parse_success,higher_is_better,0.9914529914529915,1.0,-0.008547008547008517,-0.008547008547008517,0.0,-0.008547008547008517
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,schema_validity,higher_is_better,1.0,1.0,0.0,0.0,0.0,0.0
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,tool_call_accuracy_on_sft_dev,higher_is_better,0.7635327635327636,0.7521367521367521,0.01139601139601143,0.008547008547008628,-0.002849002849002802,0.01139601139601143
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,tool_call_accuracy_on_sft_dev,higher_is_better,0.7635327635327636,0.7663817663817664,-0.002849002849002802,0.008547008547008628,0.01139601139601143,-0.002849002849002802
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,tool_call_accuracy_on_sft_dev,higher_is_better,0.7635327635327636,0.7008547008547008,0.06267806267806275,0.008547008547008628,-0.054131054131054124,0.06267806267806275
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,tool_call_accuracy_on_sft_dev,higher_is_better,0.7635327635327636,0.7692307692307693,-0.005698005698005715,0.008547008547008628,0.014245014245014342,-0.005698005698005715
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r028,final,noised_gold_clean,single_source_clean,behavior_accuracy_on_sft_dev,higher_is_better,0.814,0.814,0.0,0.0039999999999998925,0.0039999999999998925,0.0
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,r029,final,behavior_clean,single_source_clean,behavior_accuracy_on_sft_dev,higher_is_better,0.814,0.81,0.0039999999999998925,0.0039999999999998925,0.0,0.0039999999999998925
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d001,final,noised_gold_unfiltered,single_source_unfiltered_control,behavior_accuracy_on_sft_dev,higher_is_better,0.814,0.776,0.03799999999999992,0.0039999999999998925,-0.03400000000000003,0.03799999999999992
s5r002,final,mixed_clean_noised_gold_1500_behavior_1500,s3d002,final,behavior_unfiltered,single_source_unfiltered_control,behavior_accuracy_on_sft_dev,higher_is_better,0.814,0.81,0.0039999999999998925,0.0039999999999998925,0.0,0.0039999999999998925
